NAME,Symbol,Market Value
NORTHEAST UTILITIES,NU,"$2,983.40"
WARNER MUSIC GROUP CORP.,WMG,"$2,982.60"
"SMITHFIELD FOODS, INC.",SFD,"$2,981.80"
"ADC TELECOMMUNICATIONS, INC.",ADCT,"$2,962.10"
SELECT SECTOR SPDR FUND - ENERGY SELECT SECTOR,XLE,"$2,929.20"
TEEKAY SHIPPING CORPORATION,TK,"$2,929.00"
"CULLEN/FROST BANKERS, INC.",CFR,"$2,927.90"
"RAMBUS, INC.",RMBS,"$2,925.40"
"AMERICAN FINANCIAL GROUP, INC.",AFG,"$2,917.60"
GENERAL MOTORS CORPORATION,GPM,"$2,910.40"
CHEESECAKE FACTORY INCORPORATED (THE),CAKE,"$2,893.80"
"GILDAN ACTIVEWEAR, INC.",GIL,"$2,892.30"
"AMTEK, INC.",AME,"$2,887.40"
"RYDER SYSTEM, INC.",R,"$2,868.60"
"FAIR, ISAAC AND COMPANY, INCORPORATED",FIC,"$2,865.40"
BRANDYWINE REALTY TRUST,BDN,"$2,864.20"
ENERGEN CORPORATION,EGN,"$2,859.50"
ISHARES RUSSELL 2000 VALUE INDEX FUND,IWN,"$2,853.60"
NOVA CHEMICALS CORPORATION,NCX,"$2,844.10"
"DONALDSON COMPANY, INC.",DCI,"$2,843.50"
"M.D.C. HOLDINGS, INC.",MDC,"$2,829.90"
"SHURGARD STORAGE CENTERS, INC.",SHU,"$2,829.20"
SHAW GROUP INC. (THE),SGR,"$2,824.00"
"INTERCONTINENTALEXCHANGE, INC.",ICE,"$2,818.80"
FULTON FINANCIAL CORPORATION,FULT,"$2,817.60"
"PAN PACIFIC RETAIL PROPERTIES, INC.",PNP,"$2,816.50"
"JLG INDUSTRIES, INC.",JLG,"$2,814.80"
WILMINGTON TRUST CORPORATION,WL,"$2,814.50"
CREDICORP LTD.,BAP,"$2,812.60"
SOUTHERN UNION COMPANY,SUG,"$2,807.80"
RESMED INC.,RMD,"$2,793.50"
"AGL RESOURCES, INC.",ATG,"$2,780.10"
NATIONAL FUEL GAS COMPANY,NFG,"$2,779.00"
ARTHUR J. GALLAGHER & CO.,AJG,"$2,776.00"
"SKY FINANCIAL GROUP, INC.",SKYF,"$2,773.00"
COMMERCIAL METALS COMPANY,CMC,"$2,769.60"
GOODYEAR TIRE & RUBBER COMPANY (THE),GT,"$2,758.90"
"ONEOK, INC.",OKE,"$2,757.40"
GRACO INC.,GGG,"$2,754.10"
VALSPAR CORPORATION (THE),VAL,"$2,746.50"
"MDS, INC.",MDZ,"$2,739.70"
"LAIDLAW INTERNATIONAL, INC.",LI,"$2,731.20"
MERIDIAN GOLD INC.,MDG,"$2,724.30"
THOMAS & BETTS CORPORATION,TNB,"$2,717.90"
"STANCORP FINANCIAL GROUP, INC.",SFG,"$2,715.30"
PETROBRAS ENERGIA PARTICIPACIONES SA,PZE,"$2,703.40"
"CBL & ASSOCIATES PROPERTIES, INC.",CBL,"$2,697.60"
UNITED STATES CELLULAR CORPORATION,USM,"$2,691.00"
"DIEBOLD, INCORPORATED",DBD,"$2,687.10"
TITANIUM METALS CORPORATION,TIE,"$2,686.90"
"THORNBURG MORTGAGE, INC.",TMA,"$2,685.40"
SAKS INCORPORATED,SKS,"$2,683.80"
"VISHAY INTERTECHNOLOGY, INC.",VSH,"$2,682.20"
"CNF, INC.",CNF,"$2,681.80"
FRONTIER OIL CORPORATION,FTO,"$2,679.10"
"PENN NATIONAL GAMING, INC.",PENN,"$2,677.60"
BANK OF HAWAII CORPORATION,BOH,"$2,677.10"
"SILICON LABORATORIES, INC.",SLAB,"$2,658.30"
SIERRA PACIFIC RESOURCES,SRP,"$2,650.10"
ISHARES LEHMAN AGGREGATE BOND FUND,AGG,"$2,644.00"
"DOLLAR TREE STORES, INC.",DLTR,"$2,638.30"
"STERICYCLE, INC.",SRCL,"$2,637.20"
"W&T OFFSHORE, INC.",WTI,"$2,633.90"
NALCO HOLDING COMPANY,NLC,"$2,633.50"
RELIANCE STEEL & ALUMINUM COMPANY,RS,"$2,632.20"
"KINDER MORGAN MANAGEMENT, LLC",KMR,"$2,626.60"
"BLACKROCK, INC.",BLK,"$2,613.90"
GOL LINHAS AEREAS INTELIGENTES S.A.,GOL,"$2,612.20"
VALLEY NATIONAL BANCORP,VLY,"$2,607.30"
ALLMERICA FINANCIAL CORPORATION,THG,"$2,601.50"
EMDEON CORPORATION,HLTH,"$2,598.70"
"RESPIRONICS, INC.",RESP,"$2,596.80"
GENTEX CORPORATION,GNTX,"$2,594.80"
"LAUREATE EDUCATION, INC.",LAUR,"$2,592.90"
"TEPPCO PARTNERS, L.P.",TPP,"$2,592.20"
FAIRFAX FINANCIAL HOLDINGS LTD,FFH,"$2,589.70"
PRIMEWEST ENERGY TRUST,PWI,"$2,588.30"
"NEW PLAN EXCEL REALTY TRUST, INC.",NXL,"$2,569.20"
GEN-PROBE INCORPORATED,GPRO,"$2,563.10"
"F5 NETWORKS, INC.",FFIV,"$2,556.80"
"BRE PROPERTIES, INC.",BRE,"$2,554.60"
TELEFLEX INCORPORATED,TFX,"$2,554.10"
EDWARDS LIFESCIENCES CORPORATION,EW,"$2,553.40"
VIDESH SANCHAR NIGAM LIMITED,VSL,"$2,549.30"
TRW AUTOMOTIVE HOLDINGS CORPORATION,TRW,"$2,547.90"
"KINETIC CONCEPTS, INC.",KCI,"$2,544.40"
FLOWSERVE CORPORATION,FLS,"$2,541.50"
WEBSTER FINANCIAL CORPORATION,WBS,"$2,527.50"
CNH GLOBAL N.V.,CNH,"$2,523.10"
"TRINITY INDUSTRIES, INC.",TRN,"$2,501.60"
WESCO FINANCIAL CORPORATION,WSC,"$2,492.00"
PACKAGING CORPORATION OF AMERICA,PKG,"$2,487.00"
SCOR S.A.,SCO,"$2,477.50"
"LANDSTAR SYSTEM, INC.",LSTR,"$2,475.60"
METHANEX CORPORATION,MEOH,"$2,472.10"
PIONEER CORPORATION,PIO,"$2,470.50"
ST. MARY LAND,SM,"$2,468.50"
"COOPER COMPANIES, INC. (THE)",COO,"$2,466.90"
CABOT CORPORATION,CBT,"$2,466.30"
"IDEXX LABORATORIES, INC.",IDXX,"$2,462.50"
OGE ENERGY CORPORATION,OGE,"$2,458.90"
"DUFF & PHELPS UTILITIES INCOME, INC.",DNP,"$2,441.60"
"NATIONWIDE FINANCIAL SERVICES, INC.",NFS,"$2,439.60"
PUGET SOUND ENERGY,PSD,"$2,435.20"
SERVICE CORPORATION INTERNATIONAL,SCI,"$2,426.20"
ABER DIAMOND CORPORATION,ABER,"$2,423.90"
"UNIVERSAL HEALTH SERVICES, INC.",UHS,"$2,417.50"
"THOR INDUSTRIES, INC.",THO,"$2,417.40"
CENTERPOINT PROPERTIES TRUST,CNT,"$2,417.10"
HERBALIFE LTD.,HLF,"$2,414.30"
CONVERGYS CORPORATION,CVG,"$2,407.80"
"TEKTRONIX, INC.",TEK,"$2,407.50"
IDEX CORPORATION,IEX,"$2,406.60"
"METTLER-TOLEDO INTERNATIONAL, INC.",MTD,"$2,405.80"
COMPANHIA BRASILEIRA DE DISTRIBUICAO,CBD,"$2,401.80"
AGNICO-EAGLE MINES LIMITED,AEM,"$2,399.00"
ISHARES RUSSELL 2000 GROWTH INDEX FUND,IWO,"$2,395.70"
AMERUS GROUP COMPANY,AMH,"$2,373.10"
"CHURCH & DWIGHT COMPANY, INC.",CHD,"$2,367.20"
CLEVELAND-CLIFFS INC.,CLF,"$2,365.00"
ISHARES RUSSELL 1000 INDEX FUND,IWB,"$2,364.60"
COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PA,SBS,"$2,362.70"
ISHARES S&P MIDCAP 400/BARRA VALUE INDEX FUND,IJJ,"$2,348.40"
MILLS CORPORATION (THE),MLS,"$2,346.20"
TM CORPORATE BOND FUND,LQD,"$2,343.90"
"HARTE-HANKS, INC.",HHS,"$2,335.30"
CAPITOL FEDERAL FINANCIAL,CFFN,"$2,332.20"
"ENBRIDGE ENERGY, LIMITED PARTNERSHIP",EEP,"$2,325.30"
SNAP-ON INCORPORATED,SNA,"$2,324.70"
CIENA CORPORATION,CIEN,"$2,323.50"
MAHANAGAR TELEPHONE NIGAM LTD,MTE,"$2,318.40"
"HOLOGIC, INC.",HOLX,"$2,309.70"
"ALEXANDER & BALDWIN, INC.",ALEX,"$2,307.20"
DRESSER-RAND GROUP INC.,DRC,"$2,301.00"
"NETEASE.COM, INC.",NTES,"$2,297.30"
ADESA INC,KAR,"$2,293.00"
CYTEC INDUSTRIES INC.,CYT,"$2,287.50"
"VCA ANTECH, INC.",WOOF,"$2,286.30"
UNISYS CORPORATION,UIS,"$2,283.10"
"UNITED RENTALS, INC.",URI,"$2,281.60"
"COPART, INC.",CPRT,"$2,279.30"
"SIERRA HEALTH SERVICES, INC.",SIE,"$2,277.50"
HOVNANIAN ENTERPRISES INC,HOV,"$2,275.10"
POLARIS INDUSTRIES INC.,PII,"$2,274.00"
CARPENTER TECHNOLOGY CORPORATION,CRS,"$2,272.00"
"ESSEX PROPERTY TRUST, INC.",ESS,"$2,271.20"
"WESCO INTERNATIONAL, INC.",WCC,"$2,270.60"
